image,species,species_label,individual_id,individual_label,klass,klass_label,viewpoint,viewpoint_label,fold,new,box_yolov5_fish_v3,box_yolov5_fin_v3,iou_v3,width,height
e99339c70711a8.jpg,beluga_whale,0,3954e3f0b5b1,3498,whale,1,starboard,0,-1,0,13 996 3503 1650,,0.0,3600,2391
36518b7c407b40.jpg,beluga_whale,0,191e293af2b5,1556,whale,1,unclear,2,-1,0,1629 1598 2171 1731,,0.0,3600,2391
aa4cceede3e8a2.jpg,beluga_whale,0,057e4babf014,340,whale,1,starboard,0,-1,0,16 0 1128 237,,0.0,1194,237
6065d38696410e.jpg,beluga_whale,0,c1b7807d472a,11807,whale,1,starboard,0,-1,0,170 96 1225 293,,0.0,1354,352
cb0ab2ce1bbb9b.jpg,beluga_whale,0,66423582531a,6249,whale,1,unclear,2,-1,0,187 123 1122 323,,0.0,1355,397
2551f977f5b251.jpg,beluga_whale,0,51081e431bca,4909,whale,1,unclear,2,-1,0,1273 1018 2786 1385,,0.0,3600,2391
39870051c897fc.jpg,beluga_whale,0,ff26e042cd52,15535,whale,1,unclear,2,-1,0,123 79 1162 227,,0.0,1317,326
f9f936ed3e30f4.jpg,beluga_whale,0,8ca74f512aa5,8613,whale,1,unclear,2,-1,0,1690 1112 1916 1173,,0.0,3599,2403
06cb89464f7526.jpg,beluga_whale,0,5dc6032fca87,5693,whale,1,port,1,-1,0,64 113 3561 771,,0.0,3599,1013
39ec68ba3700f2.jpg,beluga_whale,0,84a261c0e5cf,8143,whale,1,unclear,2,-1,0,4 8 571 191,,0.0,596,223
e8bdc16c1e9daf.jpg,beluga_whale,0,6f47542558a1,6805,whale,1,unclear,2,-1,0,1440 1094 2352 1230,,0.0,3600,2391
7ff606b55df8b2.jpg,beluga_whale,0,da65f819073c,13288,whale,1,port,1,-1,0,1285 1065 1879 1186,,0.0,3599,2403
697b28f22de884.jpg,beluga_whale,0,d155445f3213,12756,whale,1,unclear,2,-1,0,14 39 331 90,,0.0,332,104
f60410c6d0eb0a.jpg,beluga_whale,0,0a67aa3bfe4e,642,whale,1,unclear,2,-1,0,116 0 1706 351,,0.0,1857,353
a2f951eb2b3b7a.jpg,beluga_whale,0,7dc63cb16112,7721,whale,1,starboard,0,-1,0,344 90 3405 640,,0.0,3600,749
fcb3bf79c7a72d.jpg,beluga_whale,0,5185e90ddcb1,4947,whale,1,unclear,2,-1,0,86 72 893 205,,0.0,993,264
95c8ac965b2ab9.jpg,beluga_whale,0,6da7ae3c5d54,6710,whale,1,port,1,-1,0,4 85 1376 398,,0.0,1514,484
6bf9025a551e0a.jpg,beluga_whale,0,1484032b6035,1264,whale,1,starboard,0,-1,0,36 71 1794 389,,0.0,1832,441
b07ed8d131e3fb.jpg,beluga_whale,0,7a8863eb9227,7516,whale,1,starboard,0,-1,0,94 85 973 287,,0.0,1076,340
d90b9cf8fcfaff.jpg,beluga_whale,0,a0d1a0e2e606,9820,whale,1,port,1,-1,0,542 934 2937 1479,,0.0,3600,2391
e17555904c43dc.jpg,beluga_whale,0,3028ee318e75,2932,whale,1,starboard,0,-1,0,29 26 1340 287,,0.0,1385,315
015e4e11284498.jpg,beluga_whale,0,f17a28521e9d,14741,whale,1,unclear,2,-1,0,1752 46 2262 181,,0.0,3039,2014
f0fc7e67f66d54.jpg,beluga_whale,0,ae7e930cd7e0,10669,whale,1,port,1,-1,0,291 1001 3568 1441,,0.0,3600,2391
de898b161e9ddc.jpg,beluga_whale,0,dba4e482f0ad,13383,whale,1,starboard,0,-1,0,15 176 1451 436,,0.0,1479,483
d974918cefd3d6.jpg,beluga_whale,0,afb9b3978217,10736,whale,1,unclear,2,-1,0,9 68 782 231,,0.0,862,282
c11da68910ac98.jpg,beluga_whale,0,d5d9b19035c4,13012,whale,1,port,1,-1,0,79 192 2799 648,,0.0,2908,744
720f990e78c406.jpg,beluga_whale,0,31f748b822f4,3042,whale,1,port,1,-1,0,105 151 1881 439,,0.0,2056,557
50bbe315adcb12.jpg,beluga_whale,0,7d07bf29721f,7675,whale,1,unclear,2,-1,0,19 41 284 101,,0.0,318,119
9a8d189ff0ad16.jpg,beluga_whale,0,edf59f267081,14521,whale,1,unclear,2,-1,0,1189 1183 1970 1328,,0.0,3599,2399
212e36741604f9.jpg,beluga_whale,0,5ac053677ed1,5520,whale,1,unclear,2,-1,0,2083 1057 2366 1129,,0.0,3600,2391
d3103a45c1770a.jpg,beluga_whale,0,5185e90ddcb1,4947,whale,1,unclear,2,-1,0,98 29 997 217,,0.0,1112,273
cf602034a02585.jpg,beluga_whale,0,5dc6032fca87,5693,whale,1,starboard,0,-1,0,238 130 2041 463,,0.0,2418,552
5f9e7ddf9e7f0b.jpg,beluga_whale,0,66423582531a,6249,whale,1,unclear,2,-1,0,1663 1440 1992 1522,,0.0,3599,2403
836c07f9cef55b.jpg,beluga_whale,0,aa6882526c27,10422,whale,1,starboard,0,-1,0,135 33 714 158,,0.0,743,174
a776fab00ce94e.jpg,beluga_whale,0,617368452785,5937,whale,1,port,1,-1,0,4 7 521 121,,0.0,543,126
